assay_id,pdb_id,pubmed_id
311,1OAR,12610298
2054,1OB1,12729744
3294,1RJL,15713683
373,1NSN,7473734
4738,1MFD,8172893
14759,2VIR,7596443
1005672,1QFU,10360354
1698493,1F3R,10679615
1636846,1CE1,10366506
1636847,2IGF,2333521
1928673,3MOD,21076400
1928674,3MOB,21076400
1917071,2Y6S,22171276
1848621,2NY7,17301785
1693727,2OSL,17395584
1666966,1KB5,9250664
1478116,1QKZ,10512717
1835251,3QWO,21549714
1861908,1S3K,15223322
1842151,1N5Y,12456667
1852186,3DET,18678918
1839010,3IDJ,19740978
1838984,2PW1,19740978
1838979,1U8H,19740978
1822929,2R1W,18272175
1004281,1NCA,1381757
1403365,1XCT,15930632
1403367,1XCQ,15930632
1330024,1XCT,15930632
210,1JRH,9367779
33,1FJ1,11183781
1278274,1N64,12574359
1275786,1A14,9642070
1638742,3ETB,19361425
1638743,1I8I,11352579
1638744,1I8K,11352579
1639229,2VIS,9461077
1639230,2VIT,9461077
1650227,1V7M,14769915
1650226,1V7N,14769915
1630979,2VXQ,19201867
1703101,3EYU,19385664
1637580,1QFW,10373373
1480309,1Q0Y,15019787
1861895,3ZTN,21798894
2213,1TPX,15240887
4726,1MFA,7517550
6222,1P4B,14754898
6181,1P7K,15340914
1397695,2NYY,17173035
1397742,2NZ9,17173035
2525,1FSK,10861069
2857882,1NCC,1522584
1649125,1OAZ,12610298
1667736,1OTS,12649487
1813180,1CIC,1700305
1667738,1OTU,12649487
1679247,3BKY,18346788
1653850,2J6E,17395205
1811736,2BOC,15852022
1811737,2BOB,15852022
1650338,3EYS,19385664
1853972,1TJI,15367639
1004282,1NCD,1381757
6518,1MLC,7966295
4610,1M7I,12427018
3298,1NMB,7994573
24208,2VDK,15378069
961,1UJ3,14646147
2603,1EZV,10873857
5736,1T66,15178254
1773140,2W65,19204106
1812582,2ATK,16532009
1636160,2V17,18061582
1667737,1OTT,12649487
1587039,2NR6,18519566
1785956,1G7H,11112523
1212765,1F4Y,10880560
2376245,4W6Y,25502211
1631264,2OR9,18473392
3817782,5XMH,29523691
1403284,2GHW,16954221
3133600,3Q1S,22033480
3133604,4EDX,24830649
3133606,4EDW,24830649
3133955,3QNZ,23519414
3133599,4G7Y,24487958
1634730,1XGY,16407202
1786221,1ZVH,16537393
1786226,1ZV5,16537393
1785957,1G7I,11112523
1785958,1G7J,11112523
1848912,1RZJ,14981267
1848902,1RZK,14981267
1848099,3HI1,19965434
1848119,3IDX,19965434
1633970,1KC5,11859128
3137864,5D71,26406987
1403366,1XCQ,15930632
1376701,1TQB,15240887
3137865,5C7X,26406987
3133513,5IBL,27820604
1812401,1R3K,14583193
1812402,1R3I,14583193
1853519,3EJZ,19139174
1857716,1AI1,9054968
1853518,3EJY,19139174
1795941,2R4R,17952055
1848125,3IDY,19965434
1848801,3BQU,18692506
1847946,2I5Y,18619974
1846595,1G9N,11188697
1859610,1G9M,11188697
1630832,2ZPK,18787202
3133597,4G7V,24487958
3133549,5EZO,28195038
3133598,4G80,24487958
1819647,3DVG,18724939
1818983,3HI6,19805116
1831556,3O41,20881049
1831558,3O45,20881049
1795956,2R4S,17952055
